DLPFC	ACC	PUT	GP-INT	GP-EXT	CAUN-H	CAUN-B	HIPP-CA2	CB	THAL	NACC	HIPP-DG
14.77790568	14.4576081	14.2154225	15.46040726	15.14973966	14.12755807	14.6037837	13.85402535	14.07224987	14.3897994	14.08289553	13.71722555
11.12432504	10.45791779	9.739889935	11.19519619	11.43974902	10.27599378	10.47997585	8.836467418	10.22936566	10.17488519	9.514434217	9.154650503
13.99315294	13.31163832	13.45145192	14.39121507	14.33933757	13.26810209	13.57581195	12.84929688	13.53099724	13.8544222	13.25411016	12.89008678
4.63898075	4.694728494	4.947155862	5.160546554	4.833399948	4.568088958	4.553083524	4.722182861	5.236638044	4.450824311	4.11519955	4.663653529
4.983812701	3.794899344	3.453632924	3.306956745	4.046280984	3.258278554	2.682838509	3.352689342	4.349627514	3.190810594	3.047664037	2.596354877
9.441211786	8.92745128	8.467180457	9.472963785	9.216494214	8.118540333	8.963936508	7.497412368	8.421691526	8.739062396	8.66696986	8.048837901
10.47997585	9.887871332	10.05126049	10.35885116	10.3314859	9.84114047	9.907558328	9.069272511	9.75127594	10.12267239	9.705501065	9.669451825
5.751318245	5.026975745	4.298163202	4.783890228	5.327176245	3.887872392	4.768795338	2.622074938	4.230539141	3.510310252	4.701144672	4.282388549
8.274897164	7.274632996	6.426207813	7.390194269	7.494727845	6.917969203	7.341400968	6.099867944	5.982886396	6.715449465	6.609393464	6.140078702
7.051404401	6.328695872	5.875129709	7.606563845	7.463698459	6.586104059	6.113205838	5.607736676	6.54638138	7.115273114	6.083562098	5.742688576
4.444687068	3.536924953	3.851885114	4.584464219	5.164996882	4.136976268	3.748928201	4.522854945	3.70199895	5.171060104	3.985825818	4.435693842
7.30468098	6.732992602	7.528465586	8.71696533	8.861496619	7.372454498	6.859687327	7.171902285	5.561780604	9.142539103	6.957342798	6.612420003
7.045457612	6.903455431	7.20244235	8.644367625	8.825125993	7.406609898	6.578422231	6.669109319	5.868742929	9.235961493	6.751643873	6.198711622
5.969535711	6.050721741	7.052848453	7.370174642	7.7778027	5.983571666	6.507389139	6.351772604	4.417951644	7.110616508	6.480979963	4.673647388
3.878520461	3.762470695	2.568443917	5.024490853	4.865505987	3.312407521	3.768228099	1.384920156	3.735192432	3.632319916	3.519822998	0.840179202
6.689356513	6.804128008	7.001163321	8.680847028	8.488912076	6.895288458	6.565397828	5.440140369	6.053915544	7.870328954	6.537540751	4.483461205
5.465096442	5.607795593	5.184896408	6.877752153	6.901695779	5.789676668	5.666176823	5.704862174	6.047773745	6.335318927	5.11495546	6.22412359
5.747285711	5.083819044	2.534886365	5.892618771	5.165052066	3.562571829	4.626529971	2.260809428	5.433133179	4.274074186	3.883991717	1.834235904
9.731899635	9.291425287	8.71696533	10.14882509	10.26260212	8.892622372	8.84938384	7.864716584	10.37023601	10.2434223	8.590819004	7.236228404
9.677488912	8.774549265	8.695294986	9.322708362	9.661866144	8.634672226	8.677208927	8.547523067	9.20021045	9.269992489	8.312178304	8.351916827
10.45166918	9.287691086	8.900067952	9.427162959	9.649314872	9.147217849	9.254329999	8.556401044	9.72255034	9.305235485	8.822007683	8.744384337
2.120623681	2.127615432	4.506299019	2.951136103	2.43389569	3.315263445	2.387585933	2.238792541	2.375720021	3.777408242	4.248608615	2.32991852
0.67448798	0.768763896	0.717760597	0.67448798	0.67448798	0.680750995	2.087792955	1.181011981	0.815909053	0.67448798	0.810717068	0.803342465
5.224362877	4.956238371	4.974048753	7.235251096	7.332825352	5.271275535	4.024852279	0.762958101	2.49556533	7.676735482	4.190113124	0.67448798
